Frame,Recommended_Action,Best_EPV_Score,EPV_left_receive,EPV_left_set,EPV_left_attack,EPV_right_receive,EPV_right_set,EPV_right_attack
122,left_receive,0.5126,0.5126,0.3859,0.3556,0.1665,0.2457,0.3465
123,left_receive,0.5454,0.5454,0.4219,0.3433,0.0417,0.125,0.3023
124,left_receive,0.5992,0.5992,0.4722,0.4259,0.2267,0.3061,0.405
125,left_receive,0.5877,0.5877,0.4766,0.415,0.1602,0.257,0.3897
126,left_receive,0.5479,0.5479,0.4598,0.4113,0.1976,0.2501,0.3968
127,left_receive,0.5233,0.5233,0.3709,0.3088,0.0384,0.1282,0.2762
128,left_receive,0.5807,0.5807,0.4318,0.3584,0.0923,0.1691,0.3298
129,left_receive,0.4836,0.4836,0.3458,0.2476,-0.0133,0.0847,0.2388
130,left_receive,0.429,0.429,0.3386,0.2076,-0.0382,0.0549,0.2147
131,left_receive,0.5734,0.5734,0.455,0.3908,0.0867,0.1954,0.3672
132,left_receive,0.4798,0.4798,0.3116,0.237,-0.0014,0.0757,0.2098
133,left_receive,0.5722,0.5722,0.4604,0.3789,0.1189,0.2084,0.3554
134,left_receive,0.6285,0.6285,0.57,0.4832,0.2486,0.3588,0.4757
135,left_receive,0.6171,0.6171,0.5554,0.4555,0.1441,0.2694,0.4238
136,left_receive,0.4521,0.4521,0.3305,0.262,-0.0202,0.0482,0.2202
137,left_receive,0.5518,0.5518,0.4587,0.3444,0.1121,0.2232,0.3515
138,left_receive,0.4469,0.4469,0.3378,0.2625,-0.0054,0.0784,0.2372
139,left_receive,0.3996,0.3996,0.2444,0.2135,0.0186,0.0542,0.2001
140,left_receive,0.5184,0.5184,0.3963,0.3576,0.1237,0.1965,0.3284
141,left_receive,0.5362,0.5362,0.3679,0.3202,0.0542,0.13,0.2639
142,left_receive,0.5079,0.5079,0.3796,0.274,0.0006,0.111,0.2599
143,left_receive,0.3231,0.3231,0.1966,0.143,-0.0248,0.0274,0.1225
144,left_receive,0.3037,0.3037,0.1895,0.1339,-0.037,-0.0051,0.122
145,left_receive,0.3294,0.3294,0.2032,0.161,-0.0513,0.011,0.1277
146,left_receive,0.4584,0.4584,0.2759,0.2108,0.0058,0.0495,0.1834
147,left_receive,0.3694,0.3694,0.2272,0.1746,-0.016,0.0431,0.1605
148,left_receive,0.4779,0.4779,0.3396,0.2729,0.0386,0.1077,0.2565
149,left_receive,0.6146,0.6146,0.4904,0.4192,0.1391,0.2615,0.3969
150,left_receive,0.5582,0.5582,0.4223,0.3305,0.0127,0.1319,0.306
